Name,Color,Cost,Roll Number,Type,Number of Occurances,Description
Pizza Joint,Red,1,{7},Cup,6,Get 1 Coin from the player who rolled this dice.
Family Restaurant ,Red,3,"{9,10}",Cup,6,Get 2 Coin from the player who rolled this dice.
Members-Only Club,Red,4,"{12,13,14}",Cup,6,Get all Money from player who rolled this if they have 3 or more landmarks
Mackerel Boat,Blue,2,{8},Boat,6,Get 3 Coin if you have a harbor.
Apple Orchard,Blue,3,{10},Plant,6,Get 3 Coins from the bank on anyone's turn
Tuna Boat,Blue,5,"{12,13,14}",Boat,6,Roll 2 die and get that many coins.
Cheese Factory,Green,5,{7},Furniture,6,Get 3 coin for each ranch owned
Furniture Factory,Green,3,{8},Furniture,6,Get 3 coins for each forest owned
Moving company,Green,2,"{9,10}",Suitcase,6,Give a non purple to another player and receive 4 coins from bank.
Soda Bottling Plant,Green,5,{11},Furniture,6,Get 1 Coin from bank for every Red owned by all players.
Fruit and Vegetable Market,Green,2,"{11,12}",Fruit,6,Get 2 Coins for each plant you own.
Stadium,Purple,6,{6},Purple,5,Get 2 Coins from each player.
Business Center,Purple,6,{8},Purple,5,Trade one non-purple with another player for a non-purple
Publisher,Purple,5,{7},Purple,5,Get 1 Coin from each player for every Cup and Bread they own.
Tax Office,Purple,4,"{8,9}",Purple,5,"For each play who has 10 or more, take half (round down)."
Tech-Startup,Purple,1,{10},Purple,5,At the end of turn place one coin in and if activated take the amount invested from each player.
General Store,Green,0,{2},Bread,6,If you have les than 2 constructed landmarks get 2 coins from the bank on your turn only.
Bakery,Green,1,"{2,3}",Bread,6,"Get 1 coin from the bank, on your turn only."
Demolition Company,Green,2,{4},Suitcase,6,"If possible, you must demolish one of your constructed landmarks by turning it back over to its unconstructed side. When you do, get 8 coins from the bank on your turn only."
Flower Shop,Green,1,{6},Bread,6,"Get 1 coin from the bank for each flower orchard you own, on your turn only."
Wheat Field,Blue,1,{1},Plant,6,"Get 1 coin from the bank, on anyone's turn."
Ranch,Blue,1,{2},Cow,6,"Get 1 coin from the bank, on anyone's turn."
Flower Orchard,Blue,2,{4},Plant,6,"Get 1 coin from the bank, on anyone's turn."
Forest,Blue,3,{5},Gear,6,"Get 1 coin from the bank, on anyone's turn."
Sushi Bar,Red,2,{1},Cup,6,"If you have a harbor, you get 3 coins from the player who rolled the dice."
Café,Red,2,{3},Cup,6,Get 1 Coin from the player who rolled this dice.
French Restaurant,Red,3,{5},Cup,6,"If the player who rolled this number has 2 or more constructed landmarks, get 5 coins from the player who rolled the dice."
